,.model,Region,Product,MAE
524,harmonic6,R4,EFW,25056.55835
525,harmonic6,R4,ENW,5991.845155
526,harmonic6,R5,AFD,58763.5836
527,harmonic6,R5,AFW,4353192.871
528,harmonic6,R5,ANW,14441.23067
529,harmonic6,R5,BFD,209558.0894
530,harmonic6,R5,BFW,45507.67234
531,harmonic6,R5,BNW,54851.43836
532,harmonic6,R5,CFD,15867604.57
533,harmonic6,R5,CFW,987538.5475
534,harmonic6,R5,CNW,72597.85679
535,harmonic6,R5,DFD,23291.53096
536,harmonic6,R5,DFW,210554.1055
537,harmonic6,R5,DNW,21490.32559
538,harmonic6,R5,EFD,24579.22772
539,harmonic6,R5,EFW,23934.14734
540,harmonic6,R5,ENW,3513.487239
541,harmonic6,R6,AFD,2037783.364
542,harmonic6,R6,AFW,6950641.534
543,harmonic6,R6,ANW,38702.04672
544,harmonic6,R6,BFD,817319.7931
545,harmonic6,R6,BFW,168240.7212
546,harmonic6,R6,BNW,249599.7939
547,harmonic6,R6,CFD,3452945.498
548,harmonic6,R6,CFW,3719581.595
549,harmonic6,R6,CNW,1910296.484
550,harmonic6,R6,DFD,147958.8642
551,harmonic6,R6,DFW,1709974.181
552,harmonic6,R6,DNW,27834.6903
553,harmonic6,R6,EFD,90554.07306
554,harmonic6,R6,EFW,549618.7253
555,harmonic6,R6,ENW,30951.45198
556,harmonic6,R7,AFD,75627.30847
557,harmonic6,R7,AFW,4527428.983
558,harmonic6,R7,ANW,34215.38881
559,harmonic6,R7,BFD,94426.75089
560,harmonic6,R7,BFW,228374.1363
561,harmonic6,R7,BNW,215451.4801
562,harmonic6,R7,CFD,1484653.644
563,harmonic6,R7,CFW,8962670.855
564,harmonic6,R7,CNW,26381.9041
565,harmonic6,R7,DFD,138470.1949
566,harmonic6,R7,DFW,600532.9774
567,harmonic6,R7,DNW,97116.33915
568,harmonic6,R7,EFD,549928.3025
569,harmonic6,R7,EFW,174542.901
570,harmonic6,R7,ENW,4803.755602
571,harmonic6,R8,AFD,91856.25692
572,harmonic6,R8,AFW,931483.9424
573,harmonic6,R8,ANW,16913.33685
574,harmonic6,R8,BFD,61811.49242
575,harmonic6,R8,BFW,52088.61791
576,harmonic6,R8,BNW,110500.1658
577,harmonic6,R8,CFD,1141539.623
578,harmonic6,R8,CFW,1968665.279
579,harmonic6,R8,CNW,543959.2135
580,harmonic6,R8,DFD,74824.66821
581,harmonic6,R8,DFW,267075.4484
582,harmonic6,R8,DNW,9464.367789
583,harmonic6,R8,EFD,67879.17899
584,harmonic6,R8,EFW,168899.0872
585,harmonic6,R8,ENW,5710.725794
586,harmonic6,R9,AFD,35225.96143
587,harmonic6,R9,AFW,1450986.641
588,harmonic6,R9,ANW,2569.301277
589,harmonic6,R9,BFD,10681.19979
590,harmonic6,R9,BFW,5272.71164
591,harmonic6,R9,BNW,1990.544138
592,harmonic6,R9,CFD,2330751.485
593,harmonic6,R9,CFW,315221.9076
594,harmonic6,R9,CNW,25429.65637
595,harmonic6,R9,DFD,201252.9244
596,harmonic6,R9,DFW,700066.1667
597,harmonic6,R9,DNW,8045.746353
598,harmonic6,R9,EFD,44614.24508
599,harmonic6,R9,EFW,23013.46887
600,harmonic6,R9,ENW,3611.496455
601,harmonic8,R1,AFD,655480.9536
602,harmonic8,R1,AFW,32638551.02
603,harmonic8,R1,ANW,28765.38294
604,harmonic8,R1,BFD,12530093.26
605,harmonic8,R1,BFW,154009.7998
606,harmonic8,R1,BNW,180013.5406
607,harmonic8,R1,CFD,2162944.128
608,harmonic8,R1,CFW,2374725.698
609,harmonic8,R1,CNW,99954.42704
610,harmonic8,R1,DFD,89294.54118
611,harmonic8,R1,DFW,836210.395
612,harmonic8,R1,DNW,29705.87207
613,harmonic8,R1,EFD,66202.9729
614,harmonic8,R1,EFW,119898.4176
615,harmonic8,R1,ENW,20007.36671
616,harmonic8,R10,AFD,13292284.94
617,harmonic8,R10,AFW,31249888.72
618,harmonic8,R10,ANW,170571.5383
619,harmonic8,R10,BFD,520290075.8
620,harmonic8,R10,BFW,461063.5028
621,harmonic8,R10,BNW,637563.6295
622,harmonic8,R10,CFD,34683346.08
623,harmonic8,R10,CFW,14814073.05
624,harmonic8,R10,CNW,324048.6993
625,harmonic8,R10,DFD,376196.0925
626,harmonic8,R10,DFW,14503804.95
627,harmonic8,R10,DNW,199465.1471
628,harmonic8,R10,EFD,489064.3752
629,harmonic8,R10,EFW,1365674.722
630,harmonic8,R10,ENW,455764.3887
631,harmonic8,R2,AFD,416456.6442
632,harmonic8,R2,AFW,20714658.14
633,harmonic8,R2,ANW,827.4081439
634,harmonic8,R2,BFD,298273.0482
635,harmonic8,R2,BFW,22601.08639
636,harmonic8,R2,BNW,172259.084
637,harmonic8,R2,CFD,249708.579
638,harmonic8,R2,CFW,4764733.071
639,harmonic8,R2,CNW,8934.448903
640,harmonic8,R2,DFD,40402.30245
641,harmonic8,R2,DFW,6515.55877
642,harmonic8,R2,DNW,1145.21254
643,harmonic8,R2,EFD,198426.7944
644,harmonic8,R2,EFW,6997900.618
645,harmonic8,R2,ENW,833.9375886
646,harmonic8,R3,AFD,207307.7314
647,harmonic8,R3,AFW,780884.1323
648,harmonic8,R3,ANW,2034.906102
649,harmonic8,R3,BFD,134253.3267
650,harmonic8,R3,BFW,28191.91948
651,harmonic8,R3,BNW,19902.84466
652,harmonic8,R3,CFD,7200.437202
653,harmonic8,R3,CFW,2007704.826
654,harmonic8,R3,CNW,517.657678
655,harmonic8,R3,DFD,55668.8507
656,harmonic8,R3,DFW,187.6483216
657,harmonic8,R3,DNW,6.69875518
658,harmonic8,R3,EFD,5514.188325
659,harmonic8,R3,EFW,519665.1115
660,harmonic8,R3,ENW,1097.023112
661,harmonic8,R4,AFD,256519.9721
662,harmonic8,R4,AFW,2443099.404
663,harmonic8,R4,ANW,6661.147475
664,harmonic8,R4,BFD,439937.6785
665,harmonic8,R4,BFW,17433.68277
666,harmonic8,R4,BNW,53546.61593
667,harmonic8,R4,CFD,233939.0469
668,harmonic8,R4,CFW,1039432.253
669,harmonic8,R4,CNW,22374.96172
670,harmonic8,R4,DFD,27394.37323
671,harmonic8,R4,DFW,123361.715
672,harmonic8,R4,DNW,12030.0166
673,harmonic8,R4,EFD,12021.36109
674,harmonic8,R4,EFW,26975.31087
675,harmonic8,R4,ENW,6223.907331
676,harmonic8,R5,AFD,170621.3171
677,harmonic8,R5,AFW,3941796.663
678,harmonic8,R5,ANW,15517.5256
679,harmonic8,R5,BFD,533076.1355
680,harmonic8,R5,BFW,53297.7933
681,harmonic8,R5,BNW,63997.54318
682,harmonic8,R5,CFD,7041694.75
683,harmonic8,R5,CFW,1186678.298
684,harmonic8,R5,CNW,75195.17409
685,harmonic8,R5,DFD,22548.11284
